,category,expiration_date,name,price,product_id,production_date,quantity,rating,status,normalized_price
17,Мясо,2015-01-28,Карпаччо,4199,18,2007-04-02,80,1.78,Sold,0.0009593412051555394
18,Фрукты,2026-09-15,Яблоко,910,19,2021-02-13,479,1.15,Awaiting Review,0.00020790676272720667
19,Бакалея,2028-01-11,Разрыхлитель теста,3167,20,2005-11-01,670,3.22,Pending,0.0007235612280846852
20,Овощи,2024-02-01,Топинамбур,5455,21,2019-01-11,308,4.34,Shipping,0.0012462982315130907
21,Напитки,2020-02-17,Северянка,3094,22,2013-10-01,833,3.37,On Backorder,0.0007068829932725027
22,Бакалея,2000-10-01,Каша из дробленного риса,4696,23,1999-03-02,207,3.78,Shipping,0.0010728902832603984
23,Молочные продукты,1994-02-09,Молоко,3845,24,1993-02-17,419,3.27,New,0.0008784631897649557
24,Товары для дома,2028-01-02,Парфюм,4509,25,1994-01-11,487,1.08,Out of Stock,0.0010301665858648075
25,Бакалея,2021-06-16,Чиа семена,2921,26,1996-02-11,682,3.06,In Stock,0.0006673578614573304
26,Бакалея,1996-08-03,Лен семена,1579,27,1993-05-10,232,3.38,Returned,0.00036075250367720806
27,Напитки,2018-02-20,Анапская,1596,28,2009-08-07,378,3.71,Out of Stock,0.0003646364761677163
28,Молочные продукты,2009-12-15,Фета,8150,29,1991-06-09,203,4.74,Awaiting Payment,0.0018620221057436641
29,Бакалея,2013-03-13,Растительное масло рапсовое,1523,30,2000-05-01,446,0.8,Cancelled,0.0003479582413555338
30,Бакалея,2002-03-08,Томатная паста,9282,31,1999-02-05,613,4.14,Cancelled,0.002120648979817508
31,Товары для дома,2027-04-05,Пакеты для библиотеки,1617,32,1991-06-08,156,0.84,Awaiting Payment,0.0003694343245383442
32,Бакалея,2027-05-22,Каша из дробленного риса,6342,33,2019-03-05,189,1.27,Delivered,0.0014489502079296096
33,Фрукты,2007-01-07,Фейхоа,4365,34,1997-02-05,184,4.92,Backorder,0.0009972670541805023
34,Товары для дома,2021-04-10,Пакеты для Всемирного дня музыки,8304,35,2009-02-15,182,4.58,Returned,0.0018972063271282685
35,Мясо,2005-09-04,Гамбургеры,4541,36,1994-12-16,673,1.36,Out of Stock,0.0010374775929057644
36,Мясо,2023-02-08,Конфи,2340,37,1995-09-03,535,2.59,New,0.00053461738986996
37,Фрукты,2028-02-23,Инжир,738,38,2011-09-14,965,0.82,In Stock,0.00016861009988206432
38,Овощи,2030-08-06,Цукини,2339,39,2004-01-03,2,0.56,Pending,0.0005343889208999301
39,Мясо,2021-05-06,Пироги с мясом,862,40,2000-02-17,288,2.9,On Backorder,0.0001969402521657716
40,Напитки,1999-08-17,Масала чай,1449,41,1991-06-08,844,0.11,Temporarily Unavailable,0.00033105153757332143
41,Овощи,2023-01-03,Цукини,2395,42,2011-06-02,20,3.77,Backorder,0.0005471831832216044
42,Мясо,2001-01-05,Фарш индюшиный,7527,43,1998-01-13,647,4.72,In Stock,0.001719685937415038
43,Напитки,2030-05-02,Жемчужина Байкала,9850,44,2012-02-13,151,2.48,New,0.00225041935479449
44,Фрукты,2004-09-01,Дыня,4191,45,1999-01-11,519,3.43,Delivered,0.0009575134533953003
45,Овощи,2022-08-09,Батат,8759,46,1998-06-04,891,4.3,Temporarily Unavailable,0.0020011597084918717
46,Бакалея,2028-01-12,Каша из дробленного риса,6475,47,2005-02-06,366,1.09,Refunded,0.001479336580943586
47,Мясо,2022-01-01,Буженина,5808,48,2015-01-23,111,1.41,In Stock,0.0013269477779336443
48,Фрукты,2027-01-09,Гранат,2957,49,2019-10-07,334,0.99,Sold,0.0006755827443784068
49,Овощи,2022-03-08,Огурец,7320,50,1999-01-17,313,1.08,Shipping,0.0016723928606188494
50,Молочные продукты,2025-01-04,Гауда,9058,51,2020-01-04,169,2.81,Awaiting Payment,0.002069471930530811
51,Бакалея,2019-04-15,Соль,5171,52,2015-01-10,597,3.38,Shipping,0.0011814130440245998
52,Фрукты,2028-07-03,Айва,9412,53,2008-01-11,119,2.7,Awaiting Review,0.0021503499459213948
53,Мясо,2020-03-03,Солонина,8398,54,2009-01-01,645,1.72,Out of Stock,0.0019186824103110788
54,Мясо,2028-03-09,Ливерная колбаса,8196,55,2012-03-01,909,4.32,New,0.0018725316783650395
55,Фрукты,2025-04-03,Груша,8842,56,1996-02-03,348,3.48,Pending,0.0020201226330043534
56,Мясо,2022-03-02,Кабанятина,6228,57,2021-03-12,677,0.94,On Backorder,0.0014229047453462012
57,Мясо,2004-03-09,Солонина,3475,58,2001-03-01,193,1.01,Cancelled,0.0007939296708538937
58,Овощи,2027-02-07,Лук-порей,2865,59,1991-03-06,502,0.12,Backorder,0.0006545635991356562
59,Товары для дома,2002-04-23,Блюдца,3327,60,2000-09-10,298,3.5,Shipping,0.0007601162632894688
60,Товары для дома,2023-01-04,Пакеты для растений,8041,61,1999-07-12,942,3.55,Out of Stock,0.0018371189880104055
61,Молочные продукты,2015-01-03,Адыгейский сыр,8152,62,1998-05-16,186,3.69,Temporarily Unavailable,0.001862479043683724
62,Напитки,2022-01-10,7UP,5418,63,2020-04-07,425,3.01,Cancelled,0.0012378448796219843
63,Напитки,2029-04-13,Керчь,4528,64,2021-03-17,270,0.43,Sold,0.0010345074962953757
64,Фрукты,2015-02-09,Айва,6690,65,2006-05-13,196,1.96,Sold,0.001528457409500014
65,Мясо,2027-01-05,Хамон,1264,66,2009-05-14,431,4.45,In Stock,0.00028878477811779035
66,Товары для дома,1998-03-02,Кондиционер для волос,2087,67,1996-02-16,48,0.17,Pending,0.00047681474045239595
67,Молочные продукты,2017-01-02,Катык,2814,68,2013-02-03,173,0.18,Refunded,0.0006429116816641314
68,Мясо,2022-01-03,Легкое,5500,69,2008-09-05,598,1.43,Sold,0.001256579335164436
69,Молочные продукты,2027-04-04,Творог,1759,70,2002-10-04,550,0.62,Out of Stock,0.00040187691828258963
70,Бакалея,2013-01-07,Зира молотая,2214,71,2013-01-03,690,1.78,Awaiting Payment,0.0005058302996461929
71,Овощи,2018-11-03,Огурец,9083,72,2001-01-11,455,4.55,Pending,0.0020751836547815584
72,Овощи,2020-01-08,Бамия,2453,73,1992-05-02,511,4.81,Available for Pickup,0.0005604343834833385
73,Молочные продукты,2022-01-06,Адыгейский сыр,8948,74,2008-01-16,937,0.68,Sold,0.0020443403438275224
74,Мясо,2029-02-12,Хамон,4665,75,2018-06-02,978,1.99,Shipping,0.0010658077451894715
75,Товары для дома,2025-02-11,Противни,1766,76,2021-07-02,586,3.95,Available for Pickup,0.00040347620107279887
76,Фрукты,2017-07-01,Шелковица,4452,77,2015-07-06,874,4.61,Temporarily Unavailable,0.0010171438545731033
77,Молочные продукты,2023-01-03,Фета,659,78,2005-01-11,749,1.33,Pending,0.0001505610512497024
78,Фрукты,2005-02-10,Карамбола,5903,79,1995-02-08,344,4.2,Pending,0.0013486523300864847
79,Бакалея,2022-02-08,Каша из дробленной пшеничной крупы,6711,80,2002-05-07,182,1.45,Available for Pickup,0.0015332552578706418
80,Бакалея,2025-01-14,Каша из дробленной пшеничной крупы,7829,81,2018-01-09,7,1.99,Sold,0.001788683566364067
81,Напитки,2008-01-01,Одинцовская,8328,82,1990-03-10,441,1.27,In Stock,0.001902689582408986
82,Фрукты,2027-01-13,Гранат,1810,83,2015-04-02,297,3.56,Backorder,0.0004135288357541144
83,Напитки,2026-03-01,Одинцовская,3751,84,2015-02-01,7,1.77,On Backorder,0.0008569871065821454
84,Бакалея,2010-01-08,Каша из дробленой пшеницы,815,85,2006-01-05,171,1.0,Awaiting Review,0.00018620221057436643
85,Бакалея,2028-01-03,Зира молотая,5860,86,2009-04-13,770,2.2,In Stock,0.001338828164375199
86,Молочные продукты,2012-02-03,Курт,7284,87,1994-12-11,727,2.03,Sold,0.001664167977697773
87,Молочные продукты,2009-03-04,Ласси,1289,88,1996-05-12,411,0.2,Awaiting Payment,0.0002944965023685378
88,Товары для дома,2021-01-03,Пакеты для Хэллоуина,4797,89,2012-01-25,344,4.14,Refunded,0.001095965649233418
89,Фрукты,2014-02-17,Карамбола,1203,90,2010-01-02,433,4.32,Delivered,0.00027484817094596665
90,Мясо,2026-05-24,Конфи,3716,91,2008-02-08,81,4.61,Returned,0.000848990692631099
91,Мясо,2021-07-01,Кабанятина,4868,92,2020-02-02,602,3.21,Available for Pickup,0.0011121869461055407
92,Напитки,2023-06-02,Bonaqua,775,93,2021-06-08,431,0.55,Cancelled,0.00017706345177317053
93,Молочные продукты,2021-01-03,Сливки,9172,94,2018-03-02,103,4.98,Delivered,0.0020955173931142194
94,Бакалея,2007-02-04,Чабрец сушеный,7621,95,2007-02-01,830,4.03,Available for Pickup,0.0017411620205978484
95,Фрукты,2015-01-16,Дыня,9372,96,2005-07-04,402,0.81,Returned,0.0021412111871201987
96,Фрукты,2018-02-14,Ананас,6564,97,1996-01-05,568,4.89,Returned,0.0014996703192762468
97,Молочные продукты,2030-03-04,Фета,6658,98,2015-01-07,850,3.68,In Stock,0.0015211464024590573
98,Бакалея,2030-03-03,Варенье,5866,99,2000-05-22,660,4.43,Awaiting Review,0.0013401989781953783
99,Фрукты,2019-05-02,Кокос,2928,100,2012-01-01,869,0.93,In Stock,0.0006689571442475398
100,Фрукты,2021-09-22,Черешня,2576,101,2006-08-11,668,0.3,Delivered,0.0005885360667970158
101,Мясо,2018-04-03,Грудинка копченая,5663,102,2004-03-10,189,0.3,New,0.0012938197772793091
102,Мясо,2013-03-01,Сало,1528,103,1992-03-01,823,0.32,Available for Pickup,0.0003491005862056833
103,Фрукты,2025-03-04,Слива,710,104,2022-07-05,267,3.54,Backorder,0.0001622129687212272
104,Бакалея,2013-05-06,Какао-порошок,5457,105,1997-01-05,472,1.29,Available for Pickup,0.0012467551694531503
105,Напитки,2029-09-19,Сок яблочный,3853,106,2022-11-15,462,4.84,Sold,0.0008802909415251949
106,Молочные продукты,2026-03-20,Пармезан,7677,107,1992-04-05,859,3.24,New,0.0017539562829195228
107,Напитки,2024-01-15,Смоленская,1506,108,2005-07-07,362,0.69,Pending,0.00034407426886502555
108,Овощи,2029-01-03,Щавель,9356,109,2021-04-01,712,0.54,Awaiting Review,0.0021375556835997204
109,Бакалея,2019-05-03,Плавленые сырки,9039,110,2019-02-03,977,1.65,Awaiting Review,0.002065131020100243
110,Напитки,2020-01-02,Pepsi Max,2236,111,1995-04-11,966,0.59,Sold,0.0005108566169868507
111,Овощи,2030-01-19,Брюква,7092,112,2009-02-03,791,1.95,Pending,0.0016203019354520327
112,Мясо,2019-03-06,Солонина,7205,113,2017-04-18,759,0.77,New,0.0016461189290654112
113,Напитки,2016-10-04,Лимонад классический,2691,114,2014-01-08,379,2.23,On Backorder,0.0006148099983504541
114,Бакалея,2018-06-01,Соус соевый,5216,115,1997-01-10,516,0.87,Returned,0.0011916941476759451
115,Молочные продукты,1999-01-12,Голландский сыр,2796,116,1993-01-07,23,2.93,Delivered,0.0006387992402035932
116,Фрукты,2007-01-16,Яблоко,5480,117,1993-07-04,594,2.14,Backorder,0.001252009955763838
117,Овощи,2023-05-05,Тыква,2287,118,2006-11-04,359,3.79,New,0.0005225085344583754
118,Фрукты,2021-01-20,Мандарин,5604,119,2012-03-11,23,2.46,Awaiting Payment,0.0012803401080475453
119,Бакалея,2010-04-05,Йогурт натуральный,4157,120,2008-04-05,531,2.32,Returned,0.0009497455084142836
120,Овощи,1999-01-01,Кольраби,9706,121,1992-01-17,236,4.21,Sold,0.0022175198231101844
121,Овощи,2029-02-01,Батат,8593,122,2000-04-07,732,4.05,Awaiting Payment,0.0019632338594669087
122,Фрукты,2021-01-11,Киви,7321,123,2006-01-08,586,0.24,Temporarily Unavailable,0.0016726213295888792
123,Фрукты,2021-05-01,Папайя,2682,124,2020-02-24,675,4.53,Temporarily Unavailable,0.000612753777620185
124,Напитки,2009-10-04,Реутовская,8440,125,2003-05-12,979,3.32,Awaiting Payment,0.0019282781070523345
125,Мясо,2016-09-02,Вяленое мясо,1701,126,2002-01-05,18,4.11,New,0.0003886257180208556
126,Напитки,2021-03-02,Кофе эспрессо,3981,127,2009-01-13,55,4.94,Pending,0.0009095349696890217
127,Мясо,2030-05-01,Роллы с мясом,1620,128,2014-05-02,48,1.07,Awaiting Payment,0.00037011973144843386
128,Мясо,1990-02-12,Вареники с мясом,5058,129,1990-02-01,217,2.86,Pending,0.0011555960504112213
129,Фрукты,2006-01-14,Карамбола,3213,130,1992-08-13,69,3.83,Awaiting Review,0.0007340708007060605
130,Овощи,2023-03-02,Цветная капуста,1214,131,2001-01-04,568,0.99,Pending,0.0002773613296162955
131,Напитки,2023-01-05,Чай зеленый,5856,132,2013-01-04,621,4.92,New,0.0013379142884950795
132,Молочные продукты,2029-02-04,Фета,9545,133,1996-03-02,522,0.54,In Stock,0.002180736318935371
133,Мясо,2024-04-19,Ромштекс,4587,134,2016-01-11,111,2.24,Shipping,0.0010479871655271395
134,Бакалея,2021-01-01,Тмин молотый,8016,135,2016-01-01,893,0.08,Awaiting Payment,0.001831407263759658
135,Товары для дома,2012-06-12,Скалки,7747,136,1993-04-12,268,3.8,Returned,0.0017699491108216156
136,Мясо,2014-06-14,Кровяная колбаса,9146,137,1996-04-18,607,4.47,Pending,0.002089577199893442
137,Бакалея,2023-04-01,Кофе молотый,628,138,2008-02-13,220,4.74,Delivered,0.0001434785131787756
138,Напитки,2013-04-04,Мацеста,5411,139,1993-02-01,140,0.54,Awaiting Payment,0.0012362455968317752
139,Фрукты,2022-11-08,Инжир,3217,140,2015-08-09,633,2.76,Shipping,0.0007349846765861801
140,Фрукты,2026-01-05,Шелковица,5662,141,1996-01-13,159,0.75,Sold,0.0012935913083092793
141,Товары для дома,2005-01-02,Пакеты для библиотеки,1692,142,1999-05-13,207,3.97,Temporarily Unavailable,0.0003865694972905865
142,Фрукты,1996-01-04,Авокадо,673,143,1992-05-02,28,2.41,Pending,0.00015375961683012097
143,Молочные продукты,2018-08-21,Ряженка,3189,144,2016-05-17,921,3.13,Awaiting Payment,0.000728587545425343
144,Напитки,2024-03-07,Тюменская,2251,145,2022-01-03,939,0.09,Returned,0.0005142836515372992
145,Молочные продукты,2008-10-23,Адыгейский сыр,9716,146,2001-01-13,57,1.13,Out of Stock,0.0022198045128104834
146,Молочные продукты,2017-02-08,Фета,5963,147,1998-01-15,152,3.88,Awaiting Review,0.0013623604682882786
147,Фрукты,2013-03-02,Дыня,9416,148,2011-01-20,858,4.03,Available for Pickup,0.0021512638218015145
148,Напитки,2021-05-04,Новороссийская,8543,149,1991-06-05,109,3.84,Backorder,0.0019518104109654138
149,Фрукты,2014-01-04,Киви,4326,150,2001-04-06,460,2.9,Cancelled,0.0009883567643493363
150,Овощи,2012-01-07,Пастернак,6548,151,1994-03-06,794,2.49,Shipping,0.0014960148157557684
151,Молочные продукты,2023-01-07,Сливки,241,152,2022-01-13,575,0.59,Cancelled,5.5061021777205283e-05
152,Мясо,2024-03-02,Фарш говяжий,6291,153,1994-02-03,229,1.6,Cancelled,0.001437298290458085
153,Овощи,2013-03-11,Картофель,5343,154,2008-03-02,124,3.05,Returned,0.0012207097068697422
154,Фрукты,2030-05-10,Киви,333,155,1992-01-03,91,4.97,New,7.608016701995585e-05
155,Товары для дома,2015-07-02,Пакеты для садовых работ,8830,156,1999-06-16,167,0.13,Refunded,0.0020173810053639944
156,Товары для дома,2018-08-16,Пакеты для Дня влюбленных,5527,157,1995-01-02,776,4.02,Pending,0.0012627479973552431
157,Овощи,2018-04-05,Батат,1663,158,2002-03-08,339,4.35,Delivered,0.00037994389715971944
158,Бакалея,2027-03-01,Каша из дробленной кускусовой крупы,1059,159,2004-01-01,86,1.38,Shipping,0.0002419486392616614
159,Мясо,2019-01-04,Утиная печень,3198,160,2017-02-02,494,0.92,New,0.000730643766155612
160,Фрукты,2028-01-05,Помело,5305,161,2008-03-11,882,2.01,Awaiting Payment,0.001212027886008606
161,Молочные продукты,2017-05-01,Молоко,3291,162,2010-01-02,812,4.47,Shipping,0.0007518913803683925
162,Товары для дома,2009-03-11,Моющее средство для посуды,7913,163,1991-02-04,803,4.66,New,0.0018078749598465784
163,Овощи,2005-04-01,Брюква,6199,164,2004-11-08,770,2.83,Delivered,0.0014162791452153342
164,Овощи,2023-05-06,Капуста белокочанная,7514,165,1995-11-04,371,2.75,Shipping,0.0017167158408046494
165,Напитки,2018-03-22,Феодосийская,1558,166,2015-02-02,825,3.18,Cancelled,0.0003559546553065802
166,Товары для дома,2026-05-02,Пакеты для библиотеки,7684,167,2020-01-01,657,4.28,Returned,0.001755555565709732
167,Овощи,2011-10-06,Картофель,8635,168,1998-01-06,72,1.62,Sold,0.0019728295562081643
168,Фрукты,2028-08-04,Крыжовник,4578,169,2018-04-16,117,2.05,Backorder,0.0010459309447968706
169,Молочные продукты,2023-02-26,Тан,852,170,1993-01-03,463,0.41,Refunded,0.00019465556246547262
170,Фрукты,2029-04-06,Рамбутан,7985,171,2020-07-11,914,4.55,Shipping,0.0018243247256887311
171,Товары для дома,2026-04-17,Подушки,8102,172,1996-05-06,726,0.71,Temporarily Unavailable,0.0018510555951822291
172,Овощи,2023-07-03,Турнепс,2109,173,1993-01-02,38,4.46,Refunded,0.0004818410577930537
173,Напитки,2028-01-06,Кола,4242,174,1999-02-18,94,1.53,Returned,0.000969165370866825
174,Фрукты,2019-06-05,Лимон,8946,175,2005-01-01,653,0.1,Awaiting Review,0.0020438834058874628
175,Овощи,2029-01-10,Бамия,6924,176,2006-01-04,709,0.55,Sold,0.00158191914848701
176,Бакалея,2018-01-04,Корица молотая,4781,177,2010-04-02,875,0.44,On Backorder,0.0010923101457129397
177,Товары для дома,2006-03-05,Пакеты для фестиваля,8746,178,1991-01-01,6,1.88,Delivered,0.001998189611881483
178,Фрукты,2029-04-04,Шелковица,7338,179,2020-01-08,640,0.3,New,0.0016765053020793876
179,Фрукты,2012-02-07,Помело,9536,180,1999-01-03,879,0.85,On Backorder,0.002178680098205102
180,Напитки,2023-07-20,Коктебельская,8340,181,2000-02-13,874,2.59,Awaiting Payment,0.0019054312100493446
181,Напитки,2007-03-03,Калужская,3010,182,1997-05-23,858,4.52,Returned,0.0006876915997899914
182,Товары для дома,2000-01-04,Пакеты для походов,5420,183,1995-05-03,480,3.18,Returned,0.0012383018175620441
183,Напитки,2016-05-15,Партенит,572,184,2007-01-10,924,2.47,In Stock,0.00013068425085710134
184,Фрукты,2022-07-04,Киви,2391,185,2002-01-05,843,1.78,New,0.0005462693073414848
185,Товары для дома,2026-02-06,Бумажные полотенца,5591,186,2022-05-14,875,2.04,Delivered,0.0012773700114371567
186,Фрукты,2020-02-01,Хурма,6712,187,2012-03-03,351,3.01,Out of Stock,0.0015334837268406716
187,Напитки,2014-01-17,Волгодонская,5606,188,2012-04-11,376,4.21,Returned,0.0012807970459876052
188,Бакалея,2021-01-12,Петрушка сушеная,1142,189,2014-04-21,789,2.06,Returned,0.0002609115637741429
189,Бакалея,2030-02-01,Каша из дробленой гречихи,4297,190,2021-04-01,218,3.4,Refunded,0.0009817311642184693
190,Овощи,2004-02-03,Кольраби,5591,191,2001-01-18,401,4.54,Out of Stock,0.0012773700114371567
191,Бакалея,2025-09-01,Каша из дробленной кукурузной крупы,8133,192,2007-06-14,36,4.34,Refunded,0.001858138133253156
192,Бакалея,2020-11-06,Паприка сладкая молотая,5977,193,2002-07-03,978,0.68,New,0.001365559033868697
193,Молочные продукты,2016-03-11,Мороженое,3478,194,1994-01-10,998,4.11,Cancelled,0.0007946150777639833
194,Фрукты,2025-07-10,Абрикос,1017,195,1990-06-08,532,4.35,In Stock,0.0002323529425204057
195,Фрукты,2024-06-10,Клюква,6972,196,2003-07-09,711,4.04,Available for Pickup,0.001592885659048445
196,Мясо,2030-02-04,Сало,8150,197,2001-01-19,16,5.01,On Backorder,0.0018620221057436641
197,Напитки,2024-02-02,Газированная вода,6798,198,2016-09-03,607,2.51,Temporarily Unavailable,0.0015531320582632428
198,Напитки,2013-01-22,Источник Троицкий,2248,199,2010-06-01,915,2.06,Sold,0.0005135982446272094
199,Мясо,2011-01-04,Чебуреки,4091,200,1998-02-01,519,3.63,Refunded,0.0009346665563923105
200,Фрукты,1998-05-22,Шелковица,1215,201,1993-04-01,994,0.47,New,0.0002775897985863254
201,Бакалея,2004-09-07,Душистый перец горошком,188,202,1999-01-17,726,1.83,Shipping,4.295216636562072e-05
202,Бакалея,2005-01-02,Каша из ржи,1354,203,1997-06-11,702,4.71,Awaiting Payment,0.00030934698542048117
203,Овощи,2014-05-02,Спаржа,1550,204,1993-07-08,542,2.72,Sold,0.00035412690354634106
204,Бакалея,2005-02-09,Кукуруза консервированная,5434,205,1991-03-01,186,1.73,Awaiting Review,0.0012415003831424628
205,Бакалея,2025-07-03,Мед,3634,206,2020-02-27,166,2.49,Cancelled,0.0008302562370886474
206,Товары для дома,2023-02-24,Пакеты для лекарств,8493,207,2007-05-07,630,0.65,Awaiting Payment,0.001940386962463919
207,Молочные продукты,2023-01-18,Брынза,5536,208,2016-08-03,878,1.84,New,0.0012648042180855123
208,Овощи,2014-04-20,Окра,479,209,2000-02-01,868,3.52,Sold,0.00010943663664432088
209,Молочные продукты,2009-03-03,Кефир,2845,210,2005-03-01,456,3.82,New,0.0006499942197350583
210,Овощи,2011-01-03,Окра,7540,211,2005-06-03,175,4.32,Awaiting Review,0.0017226560340254267
211,Мясо,2023-05-01,Шаверма,8843,212,2017-03-02,109,3.93,Delivered,0.002020351101974383
212,Овощи,2003-07-07,Цукини,2537,213,1990-04-01,801,0.75,Backorder,0.0005796257769658498
213,Мясо,2008-05-20,Куриные голени,6980,214,2001-02-11,884,1.13,In Stock,0.0015947134108086842
214,Мясо,2007-01-01,Сальтисон,4511,215,1998-01-19,629,3.37,Delivered,0.0010306235238048674
215,Товары для дома,2003-03-04,Зубная паста,5948,216,1998-03-03,57,3.01,Out of Stock,0.00135893343373783
216,Овощи,2025-01-10,Петрушка корневая,6493,217,2021-03-03,800,2.41,Awaiting Payment,0.001483449022404124
217,Бакалея,2024-08-01,Каша из дробленной гречки,4417,218,2016-02-01,95,1.93,Shipping,0.001009147440622057
218,Овощи,2026-10-13,Укроп,5377,219,2018-02-20,704,0.8,Available for Pickup,0.0012284776518507587
219,Мясо,2025-04-03,Кабан,4236,220,2017-03-05,324,0.13,Awaiting Payment,0.0009677945570466456
220,Бакалея,2004-01-14,Сода пищевая,9440,221,1992-01-19,826,4.01,On Backorder,0.0021567470770822317
221,Молочные продукты,2022-01-03,Голландский сыр,570,222,2014-02-01,581,1.13,Awaiting Review,0.00013022731291704155
222,Бакалея,2019-06-24,Темный шоколад,6571,223,2019-06-12,194,4.35,Returned,0.001501269602066456
223,Мясо,2024-05-06,Рулька,6800,224,1995-02-19,756,4.13,On Backorder,0.0015535889962033026
224,Товары для дома,2029-02-03,Шампунь,7094,225,1990-01-17,426,3.82,Out of Stock,0.0016207588733920925
225,Бакалея,2021-02-10,Каша из пшеницы спельты,6353,226,2007-01-04,64,1.1,Awaiting Review,0.0014514633665999384
226,Бакалея,2023-05-01,Петрушка сушеная,7986,227,2021-04-06,374,0.18,Available for Pickup,0.001824553194658761
227,Бакалея,2030-01-11,Каша из дробленной гречки,5466,228,2016-03-05,618,2.39,Sold,0.0012488113901834195
228,Бакалея,2024-01-01,Тыквенные семечки,7454,229,2022-03-06,227,4.43,Backorder,0.0017030077026028555
229,Напитки,2007-02-04,Забайкальская,7405,230,2000-10-03,412,4.15,New,0.0016918127230713905
230,Товары для дома,2017-08-04,Кастрюли,848,231,1999-09-13,26,0.82,Awaiting Payment,0.00019374168658535304
231,Молочные продукты,2023-11-10,Тан,6208,232,2015-03-02,510,3.91,Cancelled,0.0014183353659456034
232,Фрукты,2022-05-23,Папайя,4235,233,2006-02-09,762,3.02,Returned,0.0009675660880766157
233,Фрукты,2017-02-08,Авокадо,2999,234,2013-09-11,889,3.47,Backorder,0.0006851784411196624
234,Овощи,2025-02-09,Бамия,3973,235,2007-01-01,270,2.89,Returned,0.0009077072179287826
235,Мясо,2010-11-22,Шашлык,1278,236,1994-03-10,281,1.28,Sold,0.00029198334369820894
236,Фрукты,2013-09-01,Виноград,3331,237,2013-01-04,903,0.48,Sold,0.0007610301391695884
237,Фрукты,2016-07-07,Малина,6098,238,2010-04-02,771,1.21,Available for Pickup,0.0013932037792423147
238,Фрукты,2022-03-11,Крыжовник,2846,239,2022-01-13,290,3.32,On Backorder,0.0006502226887050882
239,Фрукты,2027-05-11,Хурма,4981,240,2010-04-20,613,4.03,On Backorder,0.0011380039397189193
240,Бакалея,2020-01-28,Лавровый лист,3941,241,2007-04-07,458,3.91,On Backorder,0.0009003962108878259
241,Бакалея,2025-03-09,Черный перец горошком,7125,242,2019-03-03,341,1.19,Available for Pickup,0.0016278414114630194
242,Напитки,2025-04-02,Aquafina,9752,243,2021-01-14,392,2.02,New,0.00222802939573156
243,Напитки,2007-01-08,Реутовская,6403,244,2007-01-01,921,4.9,Delivered,0.0014628868151014334
244,Овощи,2025-01-01,Баклажан,300,245,2022-12-26,377,2.1,Awaiting Payment,6.854069100896923e-05
245,Мясо,2021-02-03,Чизбургеры,9776,246,2005-01-04,739,0.89,Shipping,0.0022335126510122775
246,Напитки,2014-01-01,Форосская,7641,247,1999-01-11,745,3.65,Awaiting Payment,0.0017457313999984464
247,Молочные продукты,2019-01-01,Адыгейский сыр,6503,248,2014-01-11,142,4.64,Available for Pickup,0.001485733712104423
248,Напитки,2005-01-01,Азовская,5114,249,2003-06-02,220,0.73,Temporarily Unavailable,0.0011683903127328956
249,Товары для дома,2019-08-03,Блендер,4176,250,1996-04-01,861,3.51,Temporarily Unavailable,0.0009540864188448517
250,Товары для дома,2023-03-03,Пакеты для пикников,5177,251,1990-01-08,958,0.78,New,0.0011827838578447791
